horizon,bin,N,OFI_z_min,OFI_z_max,mean_ret
2,1,309,-3.9010261106664896,-0.7550797755118592,0.0006357507775255585
2,2,308,-0.752942929051612,-0.2472046756458153,-0.0001099891754036037
2,3,308,-0.2467788710195045,0.18976092117909515,-0.00026643992149149855
2,4,308,0.19033106896839752,0.7214923604628836,-0.00042481370781279006
2,5,308,0.7224387057892121,4.668868690425952,0.00019810935126298018
5,1,308,-3.9010261106664896,-0.7565775115887339,0.0013801693913354127
5,2,307,-0.7550797755118592,-0.24941832531102737,6.837068269575697e-06
5,3,308,-0.24850112256143247,0.18340823016122543,-0.0006746897014461788
5,4,307,0.18473412325697777,0.7153536050148587,-0.001165041496764393
5,5,308,0.718323189398259,4.668868690425952,0.0004896555894670006
10,1,307,-3.9010261106664896,-0.752942929051612,0.0021537833644081025
10,2,306,-0.7511912512742579,-0.2467788710195045,0.0005124972220732881
10,3,307,-0.24524575624253347,0.18976092117909515,-0.0007938228369573883
10,4,306,0.19033106896839752,0.718323189398259,-0.002122318370502898
10,5,307,0.7189948321660478,4.668868690425952,0.00027588230822049673
